acc_x (m/s^2), acc_y (m/s^2), angular_z (rad/s), stamp, 
-0.7106767296791077,0.6062188744544983,0.8159882802014102,1696616966953469298,
-0.10445451736450195,0.37785476446151733,0.9052309014392926,1696616966963391727,
0.04950660467147827,-0.034790992736816406,0.9604003275288027,1696616966973325684,
-0.12348020076751709,-0.12103044986724854,0.9794070976740522,1696616966983655865,
-0.1522979736328125,0.16818439960479736,1.1218795015492367,1696616966993328453,
0.061451256275177,0.3643774390220642,1.1499643891593005,1696616967003371502,
0.22514307498931885,0.08599817752838135,1.0468398341997123,1696616967014900746,
0.04705756902694702,0.14357709884643555,1.4613304784266605,1696616967023397040,
-0.47913599014282227,0.26997458934783936,1.2873863305371192,1696616967033417825,
0.034339070320129395,0.18440788984298706,1.3176553311699333,1696616967043525034,
0.8344308137893677,0.7268080711364746,1.5327991278796165,1696616967052469735,
0.0749666690826416,0.750251829624176,1.2383783118450948,1696616967064005250,
-0.06974631547927856,0.16371947526931763,1.5917848767456944,1696616967073434928,
0.09435570240020752,0.18316650390625,1.5634141529183998,1696616967083504607,
-0.05003637075424194,0.27681243419647217,1.6557316622045775,1696616967103583054,
-0.18597066402435303,0.48998135328292847,1.740595491361266,1696616967113593720,
-0.4296950697898865,0.24874478578567505,1.7881118970655308,1696616967123643218,
-0.2549988627433777,-0.22012221813201904,1.8531679867395272,1696616967133578924,
-0.3090762495994568,0.00127488374710083,1.8254304236353234,1696616967143878329,
0.11521846055984497,0.7787538766860962,1.968469405459894,1696616967153590413,
0.07092112302780151,0.24374550580978394,1.930085789329798,1696616967163659428,
0.12271356582641602,0.5835016965866089,2.012600834887743,1696616967183653678,
-0.2330760955810547,0.8545153141021729,2.0582175836504972,1696616967193686074,
0.009108483791351318,0.018757402896881104,2.070436680345145,1696616967203725029,
-0.19673281908035278,-0.11671721935272217,2.0913118398946526,1696616967213708119,
-0.5034575462341309,0.18135404586791992,1.9215573248216027,1696616967224593014,
-0.21063220500946045,-0.13013088703155518,2.286311940711562,1696616967233714729,
-0.3044898509979248,-0.2240908145904541,2.25021434123374,1696616967242921546,
-0.3611501455307007,-0.550915539264679,1.947342390832323,1696616967263848485,
-0.3545227646827698,-0.3326531648635864,2.2007820201099735,1696616967272916804,
-0.6421315670013428,0.4642322063446045,1.6869933040691878,1696616967284586087,
-0.2643490433692932,-0.17157971858978271,2.0518369985104963,1696616967294039379,
-0.5134037733078003,-0.13440096378326416,1.9202746363162615,1696616967304044261,
0.3206597566604614,0.2407088279724121,1.9478371091794013,1696616967313847225,
