x (m), y (m), th (rad), stamp, 
7.55659055709839,1.31653332710266,-1.37055703068141,1.69661696951702E+018,
7.55825138092041,1.30998885631561,-1.27266009991846,1.69661696957803E+018,
7.56018686294556,1.30478405952454,-1.1747631691555,1.69661696962707E+018,
7.56274938583374,1.30006754398346,-1.07686623839254,1.69661696967703E+018,
7.56494426727295,1.29610288143158,-0.978969307629581,1.69661696971804E+018,
7.56848621368408,1.29101717472076,-0.881072376866623,1.69661696977203E+018,
7.57222557067871,1.28697907924652,-0.783175446103664,1.69661696982215E+018,
7.5755558013916,1.2837039232254,-0.685278515340706,1.69661696986208E+018,
7.57990884780884,1.27991449832916,-0.587381584577748,1.69661696991293E+018,
7.58640575408936,1.27586126327515,-0.48948465381479,1.69661696998303E+018,
7.59047603607178,1.27406883239746,-0.391587723051832,1.69661697002323E+018,
7.5956654548645,1.27211332321167,-0.293690792288874,1.69661697007303E+018,
7.6010308265686,1.27059459686279,-0.195793861525916,1.69661697012205E+018,
7.60665893554688,1.26942598819733,-0.0978969307629576,1.69661697017203E+018,
7.61262893676758,1.26882612705231,4.71844785465692E-16,1.69661697022305E+018,
7.61718463897705,1.26872849464417,0.0978969307629586,1.69661697026309E+018,
7.62293100357056,1.26941108703613,0.195793861525917,1.69661697031202E+018,
7.63052701950073,1.27076959609985,0.293690792288875,1.69661697037828E+018,
