x, y, theta, stamp, 
0.10069197416305542, -0.14100894331932068, 0.1311446818324136, 1697835133698084312, 
0.12574853003025055, -0.1371801197528839, 0.19477605386999458, 1697835133794969884, 
0.14918892085552216, -0.13212850689888, 0.2488613245285307, 1697835133888171136, 
0.17673730850219727, -0.12431282550096512, 0.3188691888472939, 1697835134004650539, 
0.19779860973358154, -0.11710748821496964, 0.37309133496123825, 1697835134098224136, 
0.219975546002388, -0.1078488677740097, 0.43007538540422585, 1697835134198990638, 
0.2386419028043747, -0.09880048036575317, 0.4729725069474485, 1697835134287946589, 
0.2613059878349304, -0.08680941164493561, 0.5230993421232638, 1697835134404978482, 
0.278734415769577, -0.07638154178857803, 0.5652373101926084, 1697835134498205098, 
0.2963785231113434, -0.06478022038936615, 0.6110003334565776, 1697835134598979652, 
0.3117213845252991, -0.053698599338531494, 0.652158575456539, 1697835134688457038, 
0.3283487558364868, -0.04108448699116707, 0.687249782026254, 1697835134787974745, 
0.34459856152534485, -0.027610942721366882, 0.7176419380932194, 1697835134898058798, 
0.3590608835220337, -0.015125839971005917, 0.7483825443764427, 1697835134998985041, 
0.37173357605934143, -0.003353528678417206, 0.7780355957835584, 1697835135088111000, 
0.38750848174095154, 0.012200647965073586, 0.8106912360145003, 1697835135203980035, 
0.39928001165390015, 0.024698730558156967, 0.8310802096232772, 1697835135297986167, 
0.411445289850235, 0.03795372322201729, 0.8469119695808168, 1697835135397988504, 
0.42174872756004333, 0.0498032346367836, 0.8587940514851699, 1697835135487901849, 
0.43326643109321594, 0.06322456896305084, 0.8778007741136661, 1697835135588023996, 
0.44557249546051025, 0.07833129167556763, 0.8953345202849838, 1697835135698012618, 
0.4559997618198395, 0.09134582430124283, 0.9114207865650832, 1697835135797983620, 
0.4653932750225067, 0.10354399681091309, 0.9243268959330017, 1697835135887959257, 
0.47525179386138916, 0.11685067415237427, 0.9362956423281993, 1697835135987998600, 
0.4855780005455017, 0.13098026812076569, 0.9437331013202609, 1697835136098017030, 
0.4950563311576843, 0.1440611183643341, 0.9532330852503973, 1697835136197999057, 
0.5030094981193542, 0.1555391103029251, 0.9611881102936971, 1697835136288031623, 
0.5118539333343506, 0.16848792135715485, 0.9707332916621028, 1697835136388153384, 
0.5208940505981445, 0.18187765777111053, 0.9769009609388646, 1697835136498021569, 
0.5292741060256958, 0.1944654881954193, 0.9841655596254681, 1697835136598001697, 
0.5364391207695007, 0.20537804067134857, 0.9875828849811273, 1697835136687977358, 
0.5459192991256714, 0.21973201632499695, 0.994057679411127, 1697835136809027267, 
0.5528591275215149, 0.2304871380329132, 0.9954060467270925, 1697835136898035917, 
0.5603355765342712, 0.242354154586792, 0.9963016489369189, 1697835136998172745, 
0.5670785903930664, 0.2528676390647888, 0.999822119389529, 1697835137088976668, 
0.5760120749473572, 0.2666115164756775, 1.0029255631024319, 1697835137207995602, 
0.582395076751709, 0.27683284878730774, 1.005818117852837, 1697835137298030898, 
0.5896077156066895, 0.28809455037117004, 1.0095872059075408, 1697835137398032236, 
0.5957940220832825, 0.2978236675262451, 1.010514435086198, 1697835137490004088, 
0.6038339138031006, 0.3106426000595093, 1.0117245951759046, 1697835137608016649, 
0.6096745133399963, 0.32007646560668945, 1.0148908481906664, 1697835137698023528, 
0.6164231896400452, 0.3304610252380371, 1.0148908481906664, 1697835137798003411, 
0.6220406293869019, 0.3395996689796448, 1.0165159248572309, 1697835137889051271, 
0.6296162605285645, 0.3518267869949341, 1.018344175619829, 1697835138009011554, 
0.6350386142730713, 0.36082926392555237, 1.018344175619829, 1697835138098033016, 
0.6412546634674072, 0.3705354332923889, 1.0218606742708831, 1697835138198050666, 
0.646675169467926, 0.3793421983718872, 1.0245145749592826, 1697835138289088974, 
