x, y, theta, stamp, 
-0.16057705879211426, -0.028707001358270645, -0.4480938364711096, 1697833254759296636, 
-0.13195133209228516, -0.04116445779800415, -0.4013453958811633, 1697833254857896432, 
-0.10057437419891357, -0.052887212485075, -0.3535906352608762, 1697833254967895071, 
-0.07147171348333359, -0.06225448474287987, -0.3129143127884671, 1697833255068850652, 
-0.04477020725607872, -0.06976352632045746, -0.27388760133396656, 1697833255159038253, 
-0.014744894579052925, -0.07714017480611801, -0.22113821617195506, 1697833255259031153, 
0.01857984997332096, -0.08348050713539124, -0.16113370444924072, 1697833255369084582, 
0.04962479695677757, -0.08754502236843109, -0.10070515786607993, 1697833255468859096, 
0.07708161324262619, -0.08956149220466614, -0.04587185807615393, 1697833255557839886, 
0.10768137872219086, -0.08984462916851044, 0.011910051232858914, 1697833255658382328, 
0.14168033003807068, -0.08797532320022583, 0.07782168601289653, 1697833255767881557, 
0.1722387969493866, -0.08459656685590744, 0.14265901447943358, 1697833255868870469, 
0.1990581452846527, -0.07973604649305344, 0.197212841484462, 1697833255957849349, 
0.22766351699829102, -0.073075070977211, 0.2605909459057919, 1697833256057536513, 
0.25860559940338135, -0.06375832855701447, 0.32830849783120886, 1697833256168872217, 
0.28459855914115906, -0.054098889231681824, 0.3835962604563201, 1697833256264872157, 
0.3085567355155945, -0.04363209754228592, 0.4379424789972238, 1697833256363207065, 
0.33001646399497986, -0.0328073725104332, 0.4903907424269931, 1697833256454180177, 
0.3549506366252899, -0.018798943608999252, 0.552814225303205, 1697833256563865131, 
0.37616366147994995, -0.004662593826651573, 0.6039451498628388, 1697833256668871384, 
0.39319711923599243, 0.007710076402872801, 0.6447416402718577, 1697833256759130014, 
0.41189196705818176, 0.02276572585105896, 0.6916897326785453, 1697833256857627758, 
0.4308784604072571, 0.0393453948199749, 0.7406381023716906, 1697833256968858755, 
0.44639620184898376, 0.05460108071565628, 0.7775001845475057, 1697833257069872210, 
0.45938870310783386, 0.06825418770313263, 0.8058831907275399, 1697833257159105078, 
0.4734106659889221, 0.0838044062256813, 0.8369420071250179, 1697833257257601749, 
0.48839011788368225, 0.10171591490507126, 0.8704520316897562, 1697833257368954763, 
0.5006368160247803, 0.1171003207564354, 0.8978239496327287, 1697833257464880499, 
0.5118423700332642, 0.13192541897296906, 0.9212410587391078, 1697833257559193673, 
0.5245702862739563, 0.14966259896755219, 0.9394437001458181, 1697833257669334633, 
0.5355813503265381, 0.1654692441225052, 0.9543883606743399, 1697833257769241563, 
0.5455440878868103, 0.18036866188049316, 0.9701301218124243, 1697833257865311815, 
